Products,Revenue,Revenue_%,Cumulative_%,ABC_Class
Product 085,215580.46,0.19253590437661464,89.54101596229705,B
Product 086,212555.4,0.18983420932088685,89.73085017161794,B
Product 087,212487.0,0.18977312096501564,89.92062329258296,B
Product 088,210972.0,0.1884200674687453,90.1090433600517,C
Product 089,208623.6,0.18632270058383354,90.29536606063553,C
Product 090,205500.0,0.183532998999048,90.47889905963457,C
Product 091,205500.0,0.183532998999048,90.66243205863361,C
Product 092,205500.0,0.183532998999048,90.84596505763265,C
Product 093,204117.67,0.18229843369244775,91.0282634913251,C
Product 094,203267.5,0.1815391429393625,91.20980263426446,C
Product 095,202760.0,0.1810858923457274,91.39088852661018,C
Product 096,201692.4,0.18013241385555032,91.57102094046573,C
Product 097,201067.05,0.17957391088268385,91.75059485134841,C
Product 098,198878.1,0.17761894952911225,91.92821380087753,C
Product 099,197588.25,0.17646697853758467,92.10468077941512,C
Product 100,190165.0,0.16983723968201442,92.27451801909713,C
Product 101,187847.55,0.16776751438502976,92.44228553348216,C
Product 102,180038.55,0.16079326042306594,92.60307879390523,C
Product 103,178100.0,0.1590619324658416,92.76214072637107,C
Product 104,174592.8,0.15592963594959117,92.91807036232066,C
Product 105,172508.53,0.15406816478743182,93.0721385271081,C
Product 106,171250.0,0.15294416583254,93.22508269294063,C
Product 107,170565.0,0.15233238916920985,93.37741508210983,C
Product 108,164400.0,0.1468263991992384,93.52424148130908,C
Product 109,160413.3,0.14326585901865688,93.66750734032773,C
Product 110,159078.44,0.14207368938827308,93.809581029716,C
Product 111,151094.7,0.1349433743253599,93.94452440404136,C
Product 112,149319.04,0.13335752417936161,94.07788192822072,C
Product 113,147353.4,0.13160200201803562,94.20948393023876,C
Product 114,143085.2,0.12779005288748704,94.33727398312625,C
Product 115,138479.6,0.12367677025882516,94.46095075338508,C
Product 116,138353.04,0.12356373893837105,94.58451449232345,C
Product 117,134950.0,0.12052446819913153,94.70503896052259,C
Product 118,132676.28,0.11849379836709203,94.82353275888968,C
Product 119,131757.2,0.11767296377478038,94.94120572266446,C
Product 120,130176.2,0.11626096537372202,95.05746668803819,C
Product 121,124335.72,0.11104480571438399,95.16851149375258,C
Product 122,123393.43000000001,0.11020324216388856,95.27871473591647,C
Product 123,123300.0,0.11011979939942881,95.3888345353159,C
Product 124,123300.0,0.11011979939942881,95.49895433471532,C
Product 125,120560.0,0.10767269274610818,95.60662702746143,C
Product 126,119499.62,0.10672566247127308,95.7133526899327,C
Product 127,116342.16,0.10390572036412206,95.81725841029683,C
Product 128,112866.0,0.10080114581521436,95.91805955611204,C
Product 129,108195.75,0.09663012397299878,96.01468968008504,C
Product 130,107599.8,0.09609787827590154,96.11078755836094,C
Product 131,107552.87999999999,0.09605597380722496,96.20684353216816,C
Product 132,106778.73,0.09536457686720008,96.30220810903536,C
Product 133,106290.08,0.09492816129561427,96.39713627033098,C
